student,style,own_posts,own_in_feed,own_housing_in_feed,relevant_candidates,current_returned,current_correct,current_false,full_exact_correct,normalized_correct
student-000,en-formal,5,0,0,5,0,0,0,0,0
student-001,en-casual,6,0,0,59,0,0,0,0,0
student-002,zh-CN,7,0,0,44,0,0,0,0,0
student-003,zh-HK,8,0,0,10,0,0,0,0,0
student-004,mixed,9,0,0,114,0,0,0,0,1
student-005,en-typos,10,1,0,70,0,0,0,0,0
student-006,en-formal,5,0,0,5,0,0,0,0,2
student-007,en-casual,6,0,0,62,0,0,0,0,0
student-008,zh-CN,7,0,0,94,0,0,0,0,0
student-009,zh-HK,8,0,0,28,0,0,0,0,1
student-010,mixed,9,0,0,65,0,0,0,2,0
student-011,en-typos,10,1,1,20,0,0,0,0,6
student-012,en-formal,5,0,0,46,0,0,0,0,2
student-013,en-casual,6,1,1,66,0,0,0,0,2
student-014,zh-CN,7,0,0,37,0,0,0,0,1
student-015,zh-HK,8,0,0,72,0,0,0,0,1
student-016,mixed,9,3,0,36,0,0,0,0,0
student-017,en-typos,10,1,0,103,0,0,0,0,4
student-018,en-formal,5,0,0,20,0,0,0,0,0
student-019,en-casual,6,1,0,61,0,0,0,0,0
student-020,zh-CN,7,0,0,5,0,0,0,0,0
student-021,zh-HK,8,0,0,44,0,0,0,0,1
student-022,mixed,9,0,0,24,0,0,0,0,2
student-023,en-typos,10,0,0,20,0,0,0,0,0
student-024,en-formal,5,1,1,19,0,0,0,0,1
student-025,en-casual,6,0,0,51,0,0,0,0,1
student-026,zh-CN,7,0,0,8,0,0,0,0,4
student-027,zh-HK,8,1,0,16,0,0,0,1,2
student-028,mixed,9,1,1,91,0,0,0,0,1
student-029,en-typos,10,0,0,53,0,0,0,0,0
student-030,en-formal,5,0,0,5,0,0,0,0,0
student-031,en-casual,6,0,0,78,0,0,0,0,2
student-032,zh-CN,7,0,0,54,0,0,0,0,0
student-033,zh-HK,8,0,0,5,0,0,0,0,0
student-034,mixed,9,1,0,130,0,0,0,5,2
student-035,en-typos,10,0,0,54,0,0,0,0,6
student-036,en-formal,5,0,0,31,0,0,0,0,1
student-037,en-casual,6,0,0,52,0,0,0,0,4
student-038,zh-CN,7,0,0,56,0,0,0,0,1
student-039,zh-HK,8,0,0,33,0,0,0,0,3
student-040,mixed,9,0,0,32,0,0,0,0,2
student-041,en-typos,10,0,0,135,0,0,0,3,2
student-042,en-formal,5,0,0,7,0,0,0,0,1
student-043,en-casual,6,0,0,15,0,0,0,0,1
student-044,zh-CN,7,0,0,54,0,0,0,2,2
student-045,zh-HK,8,0,0,46,0,0,0,0,2
student-046,mixed,9,1,0,59,0,0,0,0,3
student-047,en-typos,10,0,0,109,0,0,0,0,0
student-048,en-formal,5,0,0,33,0,0,0,0,0
student-049,en-casual,6,1,1,31,0,0,0,0,3
